Sum of Rpt Dist No,AREA NAME,LOCATION
1267,77th Street,00900 W  83RD                         ST
1265,77th Street,01500 W  84TH                         ST
1243,77th Street,01800 W  71ST                         ST
1213,77th Street,01900 W  54TH                         ST
1213,77th Street,01900 W  SLAUSON                      AV
1232,77th Street,03400 W  59TH                         PL
1203,77th Street,04400 S  WESTERN                      AV
1245,77th Street,06500 S  NORMANDIE                    AV
1242,77th Street,06600    7TH                          AV
1251,77th Street,06700    CRENSHAW                     BL
1265,77th Street,07900 S  VERMONT                      AV
1267,77th Street,0900 W  83RD                         ST
1283,77th Street,09300 S  WESTERN                      AV
32708,77th Street,100 E  73RD                         ST
33966,77th Street,100 E  74TH                         ST
13838,77th Street,100 E  75TH                         ST
21386,77th Street,100 E  76TH                         PL
47804,77th Street,100 E  76TH                         ST
18870,77th Street,100 E  77TH                         ST
26418,77th Street,100 E  78TH                         ST
43022,77th Street,100 E  79TH                         ST
43112,77th Street,100 E  80TH                         ST
36762,77th Street,100 E  81ST                         ST
21556,77th Street,100 E  82ND                         PL
40576,77th Street,100 E  82ND                         ST
25360,77th Street,100 E  83RD                         ST
67204,77th Street,100 E  84TH                         PL
46916,77th Street,100 E  84TH                         ST
38040,77th Street,100 E  85TH                         ST
13838,77th Street,100 E  FLORENCE                     AV
7608,77th Street,100 E  MANCHESTER                   AV
1215,77th Street,100 W  55TH                         ST
50320,77th Street,100 W  73RD                         ST
113220,77th Street,100 W  74TH                         ST
44030,77th Street,100 W  75TH                         ST
38998,77th Street,100 W  76TH                         ST
55352,77th Street,100 W  77TH                         ST
60384,77th Street,100 W  78TH                         ST
58128,77th Street,100 W  79TH                         ST
43112,77th Street,100 W  80TH                         ST
51988,77th Street,100 W  81ST                         ST
71008,77th Street,100 W  82ND                         ST
49452,77th Street,100 W  83RD                         ST
29164,77th Street,100 W  84TH                         PL
76080,77th Street,100 W  84TH                         ST
29164,77th Street,100 W  85TH                         PL
36772,77th Street,100 W  85TH                         ST
38998,77th Street,100 W  FLORENCE                     AV
79884,77th Street,100 W  MANCHESTER                   AV
27698,77th Street,1000 E  73RD                         ST
2518,77th Street,1000 E  74TH                         ST
18885,77th Street,1000 E  75TH                         ST
3777,77th Street,1000 E  76TH                         PL
7554,77th Street,1000 E  76TH                         ST
6295,77th Street,1000 E  77TH                         ST
5036,77th Street,1000 E  78TH                         ST
10082,77th Street,1000 E  79TH                         ST
43146,77th Street,1000 E  80TH                         ST
24111,77th Street,1000 E  81ST                         ST
6345,77th Street,1000 E  82ND                         ST
11421,77th Street,1000 E  83RD                         ST
19035,77th Street,1000 E  84TH                         PL
20304,77th Street,1000 E  84TH                         ST
11421,77th Street,1000 E  85TH                         ST
17626,77th Street,1000 E  FLORENCE                     AV
24111,77th Street,1000 E  MANCHESTER                   AV
21672,77th Street,1000 W  45TH                         ST
15652,77th Street,1000 W  46TH                         ST
21672,77th Street,1000 W  47TH                         ST
20474,77th Street,1000 W  48TH                         ST
14460,77th Street,1000 W  49TH                         ST
14460,77th Street,1000 W  50TH                         ST
10845,77th Street,1000 W  51ST                         PL
20485,77th Street,1000 W  51ST                         ST
43540,77th Street,1000 W  52ND                         ST
25515,77th Street,1000 W  53RD                         ST
26730,77th Street,1000 W  54TH                         ST
25515,77th Street,1000 W  55TH                         ST
37665,77th Street,1000 W  56TH                         ST
65610,77th Street,1000 W  57TH                         ST
24780,77th Street,1000 W  58TH                         PL
29160,77th Street,1000 W  58TH                         ST
8673,77th Street,1000 W  59TH                         ST
18585,77th Street,1000 W  60TH                         PL
11151,77th Street,1000 W  60TH                         ST
49560,77th Street,1000 W  61ST                         ST
32310,77th Street,1000 W  62ND                         ST
37350,77th Street,1000 W  64TH                         ST
23655,77th Street,1000 W  65TH                         PL
68475,77th Street,1000 W  65TH                         ST
22410,77th Street,1000 W  66TH                         ST
27390,77th Street,1000 W  67TH                         ST
12450,77th Street,1000 W  68TH                         ST
9960,77th Street,1000 W  69TH                         ST
17430,77th Street,1000 W  70TH                         ST
12450,77th Street,1000 W  71ST                         ST
16315,77th Street,1000 W  73RD                         ST
17570,77th Street,1000 W  74TH                         ST
13805,77th Street,1000 W  75TH                         ST
8785,77th Street,1000 W  76TH                         ST
11295,77th Street,1000 W  77TH                         ST
22590,77th Street,1000 W  78TH                         ST
15180,77th Street,1000 W  79TH                         ST
11385,77th Street,1000 W  80TH                         ST
5060,77th Street,1000 W  81ST                         PL
22770,77th Street,1000 W  81ST                         ST
10120,77th Street,1000 W  82ND                         ST
61985,77th Street,1000 W  83RD                         ST
31625,77th Street,1000 W  84TH                         PL
41745,77th Street,1000 W  84TH                         ST
103730,77th Street,1000 W  85TH                         ST
36245,77th Street,1000 W  FLORENCE                     AV
18675,77th Street,1000 W  GAGE                         AV
54395,77th Street,1000 W  MANCHESTER                   AV
28497,77th Street,1000 W  SLAUSON                      AV
12040,77th Street,1000 W  VERNON                       AV
11547,77th Street,10000    LA SALLE                     AV
1293,77th Street,10000    RUTHELEN                     ST
6465,77th Street,10000 S  GRAMERCY                     PL
16679,77th Street,10000 S  HARVARD                      BL
11547,77th Street,10000 S  HOBART                       BL
10344,77th Street,10000 S  MANHATTAN                    PL
2586,77th Street,10000 S  SAINT ANDREWS                PL
2586,77th Street,10000 S  ST ANDREWS                   PL
94942,77th Street,10000 S  WESTERN                      AV
1293,77th Street,10100    RUTHELEN                     ST
6415,77th Street,10200    LA SALLE                     AV
2586,77th Street,10200    RUTHELEN                     ST
2586,77th Street,10200 S  GRAMERCY                     PL
7698,77th Street,10200 S  HARVARD                      BL
6415,77th Street,10200 S  HOBART                       BL
7758,77th Street,10200 S  MANHATTAN                    PL
2586,77th Street,10200 S  SAINT ANDREWS                PL
10344,77th Street,10200 S  ST ANDREWS                   PL
29509,77th Street,10200 S  WESTERN                      AV
1245,77th Street,102ND                        ST
7698,77th Street,10300    LA SALLE                     AV
5172,77th Street,10300    RUTHELEN                     ST
7758,77th Street,10300 S  GRAMERCY                     PL
12830,77th Street,10300 S  HARVARD                      BL
7698,77th Street,10300 S  HOBART                       BL
12930,77th Street,10300 S  MANHATTAN                    PL
